customer_id,amount,transaction_date,status
234, 450.25 ,2023-02-10,completed
"456"," 75.80",2023-02-11,failed
111,325.00  ,2023-02-12,completed
"234",  125.50,2023-02-13,completed
123, 680.00 ,2023-02-14,completed
"345"," 55.75",2023-02-15,pending
456,425.30  ,2023-02-16,completed
"111"," 190.00",2023-02-17,completed
234, 95.25 ,2023-02-18,failed
"123",  380.50,2023-02-19,completed
345,225.00  ,2023-02-20,completed
"456"," 145.80",2023-02-21,completed
111, 275.50 ,2023-02-22,pending
"234"," 185.75",2023-02-23,completed
123,515.00  ,2023-02-24,completed
"345"," 340.25",2023-02-25,completed
456, 85.50 ,2023-02-26,failed
"111",  425.00,2023-02-27,completed
234, 205.30 ,2023-02-28,completed
"123"," 125.75",2023-03-01,pending
345,185.50  ,2023-03-02,completed
"456"," 295.00",2023-03-03,completed
111, 155.25 ,2023-03-04,completed
"234",  365.80,2023-03-05,completed
123, 225.00 ,2023-03-06,completed
"345"," 475.50",2023-03-07,completed
456,135.75  ,2023-03-08,failed
"111"," 385.00",2023-03-09,completed
234, 145.25 ,2023-03-10,pending
"123",  555.30,2023-03-11,completed
345, 265.00 ,2023-03-12,completed
"456"," 175.50",2023-03-13,completed
111,295.75  ,2023-03-14,completed
"234"," 425.00",2023-03-15,completed
200, 650.50 ,2023-03-16,completed
"300"," 95.25",2023-03-17,failed
400,385.00  ,2023-03-18,completed
"200"," 275.75",2023-03-19,completed
300, 525.50 ,2023-03-20,completed
"400",  165.00,2023-03-21,pending
200, 445.25 ,2023-03-22,completed
"300"," 355.80",2023-03-23,completed
400,225.50  ,2023-03-24,completed
"200"," 185.00",2023-03-25,completed
300, 415.75 ,2023-03-26,completed
"400",  295.25,2023-03-27,completed
200, 325.50 ,2023-03-28,failed
"300"," 245.00",2023-03-29,completed
400,475.80  ,2023-03-30,completed
"500"," 585.25",2023-03-31,completed
