transaction_id,date,product_category,product_name,quantity,price,revenue
1001,2023-03-15,Electronics,Laptop,2,899.99,1799.98
1002,2023-01-10,Clothing,T-Shirt,5,19.99,99.95
1003,2023-02-14,Home & Garden,Garden Hose,1,34.50,34.50
1004,2023-04-22,Books,Mystery Novel,3,12.99,38.97
1005,2023-05-18,Sports,Basketball,2,24.99,49.98
1006,2023-06-05,Electronics,Wireless Mouse,4,29.99,119.96
1007,2023-07-12,Clothing,Jeans,1,49.99,49.99
1008,2023-08-20,Home & Garden,Plant Pot,6,8.99,53.94
1009,2023-09-03,Books,Cookbook,2,24.99,49.98
1010,2023-10-11,Sports,Tennis Racket,1,79.99,79.99
1011,2023-01-25,Electronics,Smartphone,1,699.99,699.99
1012,2023-02-28,Clothing,Winter Jacket,2,89.99,179.98
1013,2023-03-30,Home & Garden,Lawn Mower,1,299.99,299.99
1014,2023-04-15,Books,Science Fiction,4,14.99,59.96
1015,2023-05-22,Sports,Yoga Mat,3,29.99,89.97
1016,2023-06-18,Electronics,Tablet,2,399.99,799.98
1017,2023-07-25,Clothing,Sneakers,1,69.99,69.99
1018,2023-08-30,Home & Garden,Outdoor Chair,4,45.99,183.96
1019,2023-09-14,Books,Biography,1,19.99,19.99
1020,2023-10-28,Sports,Dumbbells,2,34.99,69.98
1021,2023-11-05,Electronics,Headphones,3,59.99,179.97
1022,2023-12-10,Clothing,Sweater,2,39.99,79.98
1023,2023-01-08,Home & Garden,Lamp,1,44.99,44.99
1024,2023-02-19,Books,Travel Guide,2,16.99,33.98
1025,2023-03-27,Sports,Soccer Ball,4,19.99,79.96
1026,2023-04-30,Electronics,Smart Watch,1,249.99,249.99
1027,2023-05-14,Clothing,Dress,1,59.99,59.99
1028,2023-06-22,Home & Garden,Tool Set,2,89.99,179.98
1029,2023-07-08,Books,Self-Help,3,18.99,56.97
1030,2023-08-16,Sports,Running Shoes,1,99.99,99.99
1031,2023-09-21,Electronics,Camera,1,549.99,549.99
1032,2023-10-05,Clothing,Scarf,5,14.99,74.95
1033,2023-11-18,Home & Garden,Picture Frame,8,9.99,79.92
1034,2023-12-23,Books,Fantasy Novel,2,21.99,43.98
1035,2023-01-14,Sports,Golf Club,1,129.99,129.99
1036,2023-02-07,Electronics,USB Drive,10,12.99,129.90
1037,2023-03-11,Clothing,Socks,12,5.99,71.88
1038,2023-04-26,Home & Garden,Curtains,2,34.99,69.98
1039,2023-05-30,Books,History Book,1,27.99,27.99
1040,2023-06-14,Sports,Bicycle,1,399.99,399.99
1041,2023-07-19,Electronics,Keyboard,2,49.99,99.98
1042,2023-08-24,Clothing,Hat,3,19.99,59.97
1043,2023-09-08,Home & Garden,Vase,4,14.99,59.96
1044,2023-10-17,Books,Poetry Collection,2,13.99,27.98
1045,2023-11-22,Sports,Camping Tent,1,189.99,189.99
1046,2023-12-01,Electronics,Monitor,1,279.99,279.99
1047,2023-01-20,Clothing,Belt,4,24.99,99.96
1048,2023-02-23,,Desk Lamp,2,29.99,59.98
1049,2023-03-16,Books,Graphic Novel,5,15.99,79.95
1050,2023-04-09,Sports,Swimming Goggles,6,12.99,77.94
1051,2023-05-25,Electronics,Speaker,2,79.99,159.98
1052,2023-06-29,Clothing,Shorts,3,29.99,89.97
1053,2023-07-31,Home & Garden,BBQ Grill,1,249.99,249.99
1054,2023-08-12,Books,Comic Book,8,9.99,79.92
1055,2023-09-26,Sports,Fishing Rod,1,69.99,69.99
1056,2023-10-20,Electronics,Printer,1,149.99,149.99
1057,2023-11-09,Clothing,Gloves,6,14.99,89.94
1058,2023-12-15,Home & Garden,Blanket,3,39.99,119.97
1059,2023-01-05,Books,Children's Book,4,11.99,47.96
1060,2023-02-11,Sports,Skateboard,1,79.99,79.99
1061,2023-03-21,Electronics,External Hard Drive,2,89.99,179.98
1062,2023-04-17,Clothing,Pajamas,2,34.99,69.98
1063,invalid-date,Home & Garden,Towel Set,4,24.99,99.96
1064,2023-06-07,Books,Atlas,1,44.99,44.99
