transaction_id,transaction_date,amount,currency,description
TXN001,2023-01-15,1250.00,EUR,Office supplies
TXN002,2023-01-20,3500.00,GBP,Software license
TXN003,2023-01-25,450000,JPY,Consulting services
TXN004,2023-02-01,2100.00,USD,Marketing campaign
TXN005,2023-02-05,1800.00,CAD,Hardware equipment
TXN006,,1500.00,EUR,Training services
TXN007,2023-02-15,5000.00,AUD,Legal fees
TXN008,2023-02-20,3200.00,CHF,Cloud services
TXN009,2023-02-25,-500.00,EUR,Product purchase
TXN010,2023-03-01,2750.00,GBP,Maintenance contract
TXN011,2023-03-05,850.00,USD,Travel expenses
TXN012,2023-03-10,4200.00,EUR,Annual subscription
TXN013,2023-03-15,0.00,CAD,Office rent
TXN014,2023-03-20,1950.00,JPY,Insurance premium
TXN015,2023-03-25,3100.00,AUD,Telecommunications
TXN016,2023-04-01,2400.00,CHF,Professional services
TXN017,2023-04-05,1600.00,GBP,Advertising
TXN018,2023-04-10,5500.00,EUR,Equipment lease
TXN019,,2200.00,USD,Security services
TXN020,2023-04-20,3800.00,CAD,IT support
TXN021,2023-04-25,280000,JPY,Employee training
TXN022,2023-05-01,4100.00,AUD,Facility management
TXN023,2023-05-05,1750.00,XXX,Office furniture
TXN024,2023-05-10,2900.00,EUR,Research services
TXN025,2023-05-15,3300.00,GBP,Software development
TXN026,2023-05-20,1450.00,USD,Shipping costs
TXN027,2023-05-25,4800.00,CAD,Event planning
TXN028,2023-06-01,3650.00,CHF,Tax consulting
TXN029,2023-06-05,2150.00,AUD,Printing services
TXN030,2023-06-10,5200.00,EUR,Data analytics
TXN031,2023-06-15,1900.00,GBP,Brand development
TXN032,2023-06-20,320000,JPY,Quality assurance
TXN033,2023-06-25,2600.00,USD,Public relations
TXN034,2023-07-01,3950.00,CAD,Content creation
TXN035,2023-07-05,1550.00,AUD,Translation services
TXN036,2023-07-10,4350.00,CHF,Audit fees
TXN037,2023-07-15,2850.00,EUR,Market research
TXN038,,3700.00,GBP,Video production
TXN039,2023-07-25,1250.00,USD,Photography
TXN040,2023-08-01,4600.00,CAD,Website redesign
TXN041,2023-08-05,390000,JPY,Product development
TXN042,2023-08-10,2950.00,AUD,Customer support
TXN043,2023-08-15,3450.00,CHF,Financial advisory
TXN044,2023-08-20,1850.00,EUR,SEO optimization
TXN045,2023-08-25,4150.00,GBP,Mobile app development
TXN046,2023-09-01,2350.00,USD,Database management
TXN047,2023-09-05,3850.00,INVALID,Network infrastructure
TXN048,2023-09-10,1650.00,EUR,Cybersecurity
TXN049,2023-09-15,4950.00,CAD,Business intelligence
TXN050,2023-09-20,2750.00,AUD,Risk management
TXN051,2023-09-25,3550.00,CHF,Compliance services
