customer_id|customer_name|region|signup_date
CUST-101|Acme Corporation|North|2023-01-15
CUST-102|Global Industries|East|2023-02-20
CUST-103|Stellar Enterprises|West|2023-01-22
CUST-104|Quantum Solutions|South|2023-02-05
CUST-105|Pacific Trading Co|Central|2023-02-14
CUST-106|Mountain View LLC|North|2023-03-01
CUST-107|Riverside Manufacturing|East|2023-03-10
CUST-108|Sunset Technologies|West|2023-03-18
CUST-109|Horizon Dynamics|South|2023-04-02
CUST-110|Metro Business Group|Central|2023-04-15
CUST-111|Silverline Corp|North|2023-04-22
CUST-112|Bluestone Partners|East|2023-05-01
CUST-113|Redwood Ventures|West|2023-05-12
CUST-114|Greenfield Industries|South|2023-05-20
CUST-115|Golden Gate Trading|Central|2023-06-03
CUST-116|Crystal Systems|North|2023-06-14
CUST-117|Diamond Logistics|East|2023-06-25
CUST-118|Emerald Holdings|West|2023-07-05
CUST-119|Sapphire Solutions|South|2023-07-18
CUST-120|Ruby Enterprises|Central|2023-07-28
CUST-121|Titanium Tech|North|2023-08-08
CUST-122|Platinum Group|East|2023-08-19
CUST-123|Bronze Industries|West|2023-08-30
CUST-124|Silver Oak Corp|South|2023-09-10
CUST-125|Iron Mountain LLC|Central|2023-09-21
CUST-126|Copper Creek Trading|North|2023-10-01
CUST-127|Steel Valley Inc|East|2023-10-12
CUST-128|Granite Peak Partners|West|2023-10-23
CUST-129|Marble Arch Ventures|South|2023-11-02
CUST-130|Limestone Holdings|Central|2023-11-13
CUST-131|Sandstone Systems|North|2023-11-24
CUST-132|Slate Industries|East|2023-12-04
CUST-133|Quartz Solutions|West|2023-12-15
CUST-134|Obsidian Corp|South|2023-12-26
CUST-135|Amber Trading Co|Central|2024-01-05
CUST-136|Jade Enterprises|North|2024-01-16
CUST-137|Pearl Logistics|East|2024-01-27
CUST-138|Opal Technologies|West|2024-02-06
CUST-139|Coral Systems|South|2024-02-17
CUST-140|Ivory Dynamics|Central|2024-02-28
CUST-141|Ebony Industries|North|2024-03-09
CUST-142|Mahogany Group|East|2024-03-20
CUST-143|Teak Partners|West|2024-03-31
CUST-144|Walnut Ventures|South|2024-04-10
CUST-145|Cedar Holdings|Central|2024-04-21
CUST-146|Pine Ridge Corp|North|2024-05-01
CUST-147|Oak Valley LLC|East|2024-05-12
CUST-148|Maple Leaf Trading|West|2024-05-23
CUST-149|Birch Creek Inc|South|2024-06-02
CUST-150|Aspen Mountain Co|Central|2024-06-13
CUST-151|Willow Brook Systems|North|2024-06-24
CUST-152|Elm Street Industries|East|2024-07-04
CUST-153|Poplar Grove Solutions|West|2024-07-15
CUST-154|Cypress Point Corp|South|2024-07-26
CUST-155|Sequoia Enterprises|Central|2024-08-05
CUST-156|Redwood Forest LLC|North|2024-08-16
CUST-157|Magnolia Trading|East|2024-08-27
CUST-158|Azalea Logistics|West|2024-09-06
CUST-159|Dogwood Technologies|South|2024-09-17
CUST-160|Sycamore Dynamics|Central|2024-09-28
CUST-161|Chestnut Industries|North|2024-10-08
CUST-162|Hawthorn Group|East|2024-10-19
CUST-163|Linden Partners|West|2024-10-30
CUST-164|Hickory Ventures|South|2024-11-09
CUST-165|Beech Holdings|Central|2024-11-20
CUST-166|Alder Corp|North|2024-12-01
CUST-167|Spruce Valley LLC|East|2024-12-12
CUST-168|Fir Mountain Trading|West|2024-12-23
CUST-169|Hemlock Creek Inc|South|2025-01-02
CUST-170|Juniper Ridge Co|Central|2025-01-13
CUST-171|Larch Systems|North|2025-01-24
CUST-172|Tamarack Industries|East|2025-02-03
CUST-173|Yew Solutions|West|2025-02-14
CUST-174|Boxwood Corp|South|2025-02-25
CUST-175|Holly Enterprises|Central|2025-03-07
CUST-176|Laurel Logistics|North|2025-03-18
CUST-177|Myrtle Technologies|East|2025-03-29
CUST-178|Olive Dynamics|West|2025-04-08
CUST-179|Buckeye Industries|South|2025-04-19
CUST-180|Cottonwood Group|Central|2025-04-30
CUST-181|Mesquite Partners|North|2025-05-10
CUST-182|Acacia Ventures|East|2025-05-21
CUST-183|Banyan Holdings|West|2025-06-01
CUST-184|Baobab Corp|South|2025-06-12
CUST-185|Buttonwood LLC|Central|2025-06-23
CUST-186|Catalpa Trading|North|2025-07-03
CUST-187|Eucalyptus Inc|East|2025-07-14
CUST-188|Ginkgo Systems|West|2025-07-25
CUST-189|Ironwood Industries|South|2025-08-04
CUST-190|Locust Solutions|Central|2025-08-15
CUST-191|Mimosa Corp|North|2025-08-26
CUST-192|Mulberry Enterprises|East|2025-09-05
CUST-193|Pecan Logistics|West|2025-09-16
CUST-194|Persimmon Technologies|South|2025-09-27
CUST-195|Sassafras Dynamics|Central|2025-10-07
CUST-196|Sweetgum Industries|North|2025-10-18
CUST-197|Sycamore Group|East|2025-10-29
CUST-198|Tupelo Partners|West|2025-11-08
CUST-199|Whitewood Ventures|South|2025-11-19
CUST-200|Yellowwood Holdings|Central|2025-11-30
