date,product_id,quantity,price
2024-01-15,PROD101,80,399.99
2024-01-16,PROD102,65,450.00
2024-01-17,PROD103,90,325.50
2024-01-18,PROD104,75,410.25
2024-01-19,PROD105,88,375.00
2024-01-20,PROD106,92,445.50
2024-01-21,PROD107,70,389.99
2024-01-22,PROD108,85,425.75
2024-01-23,PROD109,78,395.00
2024-01-24,PROD110,95,415.50
2024-01-25,PROD111,82,405.25
2024-01-26,PROD112,87,435.00
2024-01-27,PROD113,91,385.50
2024-01-28,PROD114,76,420.00
2024-01-29,PROD115,89,398.75
2024-01-30,PROD116,83,440.50
2024-01-31,PROD117,94,365.00
2024-02-01,PROD118,72,455.25
2024-02-02,PROD119,86,380.00
2024-02-03,PROD120,79,425.50
2024-02-04,PROD121,93,390.75
2024-02-05,PROD122,81,448.00
2024-02-06,PROD123,88,375.50
2024-02-07,PROD124,74,430.25
2024-02-08,PROD125,90,395.00
2024-02-09,PROD126,85,415.75
2024-02-10,PROD127,77,405.50
2024-02-11,PROD128,92,385.00
2024-02-12,PROD129,84,450.25
2024-02-13,PROD130,89,420.00
2024-02-14,PROD131,96,395.50
2024-02-15,PROD132,73,435.75
2024-02-16,PROD133,87,410.00
2024-02-17,PROD134,91,388.50
2024-02-18,PROD135,80,445.25
2024-02-19,PROD136,86,400.00
2024-02-20,PROD137,78,425.50
2024-02-21,PROD138,94,375.75
2024-02-22,PROD139,82,440.00
2024-02-23,PROD140,88,395.25
2024-02-24,PROD141,75,430.50
2024-02-25,PROD142,90,405.00
2024-02-26,PROD143,85,415.75
2024-02-27,PROD144,93,385.50
2024-02-28,PROD145,79,450.00
2024-03-01,PROD146,87,420.25
2024-03-02,PROD147,91,398.00
2024-03-03,PROD148,84,435.50
2024-03-04,PROD149,76,410.75
2024-03-05,PROD150,89,388.00
2024-03-06,PROD151,95,445.50
2024-03-07,PROD152,81,400.25
2024-03-08,PROD153,86,425.00
2024-03-09,PROD154,92,375.50
2024-03-10,PROD155,78,440.75
2024-03-11,PROD156,88,395.00
2024-03-12,PROD157,83,430.25
2024-03-13,PROD158,90,405.50
2024-03-14,PROD159,74,415.00
2024-03-15,PROD160,87,385.75
2024-03-16,PROD161,93,450.50
2024-03-17,PROD162,80,420.00
2024-03-18,PROD163,85,398.25
2024-03-19,PROD164,89,435.00
2024-03-20,PROD165,96,410.50
