customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,num_services,support_calls,churn
CUST0001,42,36,89.50,3285.40,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,5,1
CUST0002,35,48,65.20,3145.60,One year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0003,28,12,105.30,1285.50,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,8,1
CUST0004,55,60,45.80,2755.20,Two year,Credit card,DSL,Yes,Yes,Yes,No,No,4,0,0
CUST0005,23,3,95.70,298.45,Month-to-month,Mailed check,Fiber optic,No,No,No,Yes,Yes,3,6,1
CUST0006,67,72,52.30,3785.60,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0007,31,24,78.90,1915.60,One year,Credit card,Fiber optic,Yes,No,Yes,No,Yes,4,2,0
CUST0008,44,8,98.20,812.80,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0009,52,56,38.50,2168.00,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0010,29,15,88.40,1348.50,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0011,61,68,41.20,2825.60,Two year,Credit card,DSL,Yes,No,No,No,No,2,1,0
CUST0012,38,5,102.50,535.80,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,9,1
CUST0013,47,42,58.70,2485.40,One year,Bank transfer,DSL,Yes,Yes,Yes,No,No,4,2,0
CUST0014,26,2,110.30,228.95,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,7,1
CUST0015,58,64,47.90,3088.60,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0016,33,18,82.60,1502.80,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0017,49,52,44.30,2315.60,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0018,25,6,96.80,598.50,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,3,8,1
CUST0019,63,70,39.80,2806.00,Two year,Credit card,DSL,Yes,No,No,No,No,2,0,0
CUST0020,36,28,71.50,2022.00,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0021,41,10,93.20,968.50,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,6,1
CUST0022,54,58,46.70,2728.60,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,1,0
CUST0023,30,20,85.30,1728.40,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0024,66,72,40.50,2936.00,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,2,0,0
CUST0025,27,4,108.70,452.35,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0026,50,46,62.40,2890.40,One year,Credit card,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0027,34,14,79.80,1137.20,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0028,59,66,43.60,2897.60,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,0,0
CUST0029,24,7,99.50,722.65,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0030,48,50,55.20,2784.00,Two year,Credit card,DSL,Yes,Yes,Yes,No,No,4,1,0
CUST0031,37,32,68.90,2228.80,One year,Bank transfer,Fiber optic,Yes,No,No,Yes,Yes,4,2,0
CUST0032,45,9,91.30,852.70,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,6,1
CUST0033,62,69,42.80,2973.20,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0034,32,22,76.50,1703.00,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,3,0
CUST0035,28,5,104.20,542.60,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0036,56,62,48.30,3014.60,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0037,39,16,87.60,1421.60,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0038,51,54,44.90,2444.60,Two year,Credit card,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0039,26,3,107.80,335.85,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,5,9,1
CUST0040,64,71,41.70,2980.70,Two year,Bank transfer,DSL,Yes,No,No,No,No,2,0,0
CUST0041,35,26,73.20,1923.20,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
CUST0042,43,11,94.50,1079.25,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,4,7,1
CUST0043,57,59,45.60,2710.40,Two year,Bank transfer,DSL,Yes,Yes,No,No,No,3,1,0
CUST0044,31,19,80.70,1553.30,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,4,5,1
CUST0045,68,72,38.90,2820.80,Two year,Credit card,DSL,Yes,Yes,No,No,No,2,0,0
CUST0046,29,13,86.40,1137.20,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,5,4,0
CUST0047,53,57,47.20,2710.40,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,No,3,1,0
CUST0048,25,6,100.80,625.95,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,4,8,1
CUST0049,60,65,42.50,2782.50,Two year,Credit card,DSL,Yes,Yes,No,No,No,3,0,0
CUST0050,36,30,69.30,2099.00,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,4,2,0
