ticket_id,created_at,region,priority
T001,2024-01-15T14:30:00+08:00,APAC,High
T002,2024-01-20 09:45:00,AMER,Medium
T003,15/01/2024 16:30:00,EMEA,Low
T004,2024-02-10T10:00:00Z,APAC,Critical
T005,invalid-date-format,AMER,High
T006,01/25/2024 14:20:00,AMER,Medium
T007,2024-01-18T09:15:00+00:00,EMEA,Low
T008,2024/02/03 11:30:00,APAC,High
T009,2024-02-15T14:30:00Z,EMEA,Medium
T010,20/02/2024 10:15:00,EMEA,Critical
T011,2024-01-22 18:45:00,AMER,Low
T012,2024-03-05T16:20:00+08:00,APAC,Medium
T013,02/14/2024 08:30:00,AMER,High
T014,2024-01-30T11:00:00Z,EMEA,Low
T015,not-a-date,APAC,Medium
T016,2024/01/28 13:45:00,AMER,Critical
T017,25/01/2024 09:00:00,EMEA,High
T018,2024-02-08T07:30:00-05:00,AMER,Medium
T019,2024-01-16 14:20:00,APAC,Low
T020,2024-02-12T15:45:00+08:00,APAC,High
T021,03/10/2024 16:00:00,AMER,Critical
T022,2024-01-25T10:30:00Z,EMEA,Medium
T023,2024/02/18 12:15:00,EMEA,Low
T024,2024-13-45 25:99:00,AMER,High
T025,10/03/2024 14:45:00,EMEA,Medium
T026,2024-02-05 21:30:00,APAC,Critical
T027,2024-01-19T08:00:00+00:00,EMEA,Low
T028,01/30/2024 10:15:00,AMER,High
T029,2024-03-01T13:20:00+08:00,APAC,Medium
T030,2024/02/22 09:30:00,AMER,Low
T031,22/02/2024 11:45:00,EMEA,Critical
T032,2024-01-24T16:00:00Z,APAC,High
T033,2024-02-07 19:15:00,AMER,Medium
T034,2024-03-08T10:45:00-05:00,AMER,Low
T035,08/03/2024 15:30:00,EMEA,High
T036,2024/01/31 08:00:00,APAC,Critical
T037,2024-02-14T12:30:00+08:00,APAC,Medium
T038,99/99/9999 00:00:00,EMEA,Low
T039,2024-01-26 17:45:00,AMER,High
T040,2024-02-19T09:00:00Z,EMEA,Medium
T041,19/02/2024 13:15:00,EMEA,Critical
T042,02/28/2024 11:30:00,AMER,Low
T043,2024-03-03T14:00:00+08:00,APAC,High
T044,2024/02/11 16:45:00,EMEA,Medium
T045,2024-01-29 10:00:00,APAC,Low
T046,2024-02-16T08:30:00-05:00,AMER,Critical
T047,16/02/2024 12:00:00,EMEA,High
T048,2024-03-06T15:15:00Z,APAC,Medium
T049,,AMER,Low
T050,03/12/2024 09:45:00,AMER,High
T051,2024/01/23 11:00:00,APAC,Critical
T052,2024-02-09T13:45:00+00:00,EMEA,Medium
T053,23/01/2024 08:30:00,EMEA,Low
T054,2024-01-27 15:20:00,AMER,High
T055,2024-03-04T10:15:00+08:00,APAC,Medium
T056,01/18/2024 14:00:00,AMER,Critical
T057,2024-02-21T16:30:00Z,EMEA,Low
T058,2024/03/07 12:45:00,APAC,High
T059,07/03/2024 09:15:00,EMEA,Medium
T060,2024-01-31 18:00:00,AMER,Low
T061,2024-02-13T11:30:00+08:00,APAC,Critical
T062,malformed,EMEA,High
T063,2024/02/24 13:00:00,AMER,Medium
T064,24/02/2024 10:45:00,EMEA,Low
T065,2024-03-09T15:00:00-05:00,AMER,High
T066,2024-01-21T09:30:00Z,APAC,Critical
T067,2024-02-06 14:15:00,EMEA,Medium
T068,02/17/2024 08:45:00,AMER,Low
T069,2024-03-02T12:00:00+08:00,APAC,High
T070,17/02/2024 16:30:00,EMEA,Medium
T071,2024/01/26 11:15:00,AMER,Critical
T072,2024-02-23T14:45:00Z,EMEA,Low
T073,2024-01-28 19:30:00,APAC,High
T074,2024-03-10T10:00:00+00:00,EMEA,Medium
T075,03/15/2024 13:20:00,AMER,Low
T076,15/03/2024 08:00:00,EMEA,Critical
T077,2024-02-01T16:15:00+08:00,APAC,High
T078,2024/02/27 10:30:00,AMER,Medium
T079,not-valid-timestamp,APAC,Low
T080,01/22/2024 15:45:00,AMER,High
T081,2024-02-11 20:00:00,APAC,Critical
T082,2024-03-11T09:30:00Z,EMEA,Medium
T083,11/03/2024 14:00:00,EMEA,Low
T084,2024/01/30 12:30:00,APAC,High
T085,2024-02-18T11:15:00-05:00,AMER,Medium
T086,30/01/2024 17:45:00,EMEA,Critical
T087,2024-03-05T13:00:00+08:00,APAC,Low
T088,02/25/2024 09:30:00,AMER,High
T089,2024-01-17T15:30:00Z,EMEA,Medium
T090,2024/03/08 11:45:00,APAC,Low
