date,product_id,quantity,price
2024-01-15,PROD001,25,129.99
2024-01-16,PROD002,10,89.50
2024-01-17,PROD003,45,250.00
2024-01-18,PROD004,33,175.25
2024-01-19,PROD005,67,320.00
2024-01-20,PROD006,12,45.99
2024-01-21,PROD007,89,410.50
2024-01-22,PROD008,23,156.75
2024-01-23,PROD009,54,289.99
2024-01-24,PROD010,41,198.50
2024-01-25,PROD011,15,67.25
2024-01-26,PROD012,78,345.00
2024-01-27,PROD013,29,123.45
2024-01-28,PROD014,61,278.90
2024-01-29,PROD015,8,39.99
2024-01-30,PROD016,92,456.75
2024-01-31,PROD017,37,201.50
2024-02-01,PROD018,19,98.25
2024-02-02,PROD019,73,389.00
2024-02-03,PROD020,44,234.99
2024-02-04,PROD021,26,145.50
2024-02-05,PROD022,58,312.75
2024-02-06,PROD023,11,54.99
2024-02-07,PROD024,85,423.25
2024-02-08,PROD025,31,167.50
2024-02-09,PROD026,49,256.00
2024-02-10,PROD027,22,112.75
2024-02-11,PROD028,66,334.50
2024-02-12,PROD029,14,72.25
2024-02-13,PROD030,81,398.99
2024-02-14,PROD031,38,189.50
2024-02-15,PROD032,52,267.75
2024-02-16,PROD033,7,34.99
2024-02-17,PROD034,94,478.50
2024-02-18,PROD035,28,134.25
2024-02-19,PROD036,63,301.00
2024-02-20,PROD037,17,87.50
2024-02-21,PROD038,76,367.25
2024-02-22,PROD039,42,213.99
2024-02-23,PROD040,55,279.50
2024-02-24,PROD041,9,46.75
2024-02-25,PROD042,88,445.00
2024-02-26,PROD043,34,178.25
2024-02-27,PROD044,69,356.50
2024-02-28,PROD045,21,109.99
2024-02-29,PROD046,57,289.75
2024-03-01,PROD047,13,64.50
2024-03-02,PROD048,83,412.25
2024-03-03,PROD049,39,195.00
2024-03-04,PROD050,51,261.75
2024-03-05,PROD051,6,29.99
2024-03-06,PROD052,96,487.50
2024-03-07,PROD053,30,156.25
2024-03-08,PROD054,64,323.00
2024-03-09,PROD055,18,92.75
2024-03-10,PROD056,77,378.50
2024-03-11,PROD057,43,221.99
2024-03-12,PROD058,56,287.25
2024-03-13,PROD059,10,51.50
2024-03-14,PROD060,90,456.00
2024-03-15,PROD061,35,184.75
2024-03-16,PROD062,70,362.50
2024-03-17,PROD063,24,118.99
2024-03-18,PROD064,59,298.75
2024-03-19,PROD065,16,79.50
2024-03-20,PROD066,84,429.25
