Department,Category,Subcategory,Q1_Budget,Q1_Actual,Q2_Budget,Q2_Actual,Q3_Budget,Q3_Actual,Q4_Budget,Q4_Actual,Notes
Engineering,Salaries,Software Engineers,285000,278500,285000,289200,285000,282100,285000,287300,Slight overtime in Q2
Engineering,Salaries,DevOps Engineers,165000,162800,165000,168900,165000,163700,165000,166200,Within budget range
Engineering,Salaries,QA Engineers,125000,123400,125000,127800,125000,124900,125000,126500,Performance bonuses included
Engineering,Equipment,Laptops,45000,43200,25000,28900,30000,29500,35000,0,Q4 purchases pending
Engineering,Equipment,Monitors,12000,11800,8000,7500,10000,9800,12000,0,Bulk order planned Q4
Engineering,Equipment,Peripherals,8000,7650,6000,6200,7000,6900,8000,0,Keyboards mice headsets
Engineering,Software,Development Tools,35000,34200,35000,36100,35000,34800,35000,0,IDE licenses CI/CD tools
Engineering,Software,Cloud Services,95000,98200,105000,112300,115000,118900,125000,0,AWS Azure costs rising
Engineering,Software,Testing Tools,18000,17500,18000,18400,18000,17800,18000,0,Selenium BrowserStack
Engineering,Training,Conferences,25000,23800,30000,28500,20000,19200,25000,0,Tech conferences workshops
Engineering,Training,Online Courses,12000,11400,12000,12800,12000,11900,12000,0,Udemy Pluralsight subscriptions
Engineering,Infrastructure,Data Centers,85000,84200,85000,87600,85000,86100,85000,0,Colocation costs
Engineering,Infrastructure,Networking,22000,21300,22000,23100,22000,21800,22000,0,Switches routers bandwidth
Engineering,Office,Supplies,5000,4800,5000,5200,5000,4900,5000,0,General office supplies
Engineering,Office,Furniture,15000,14200,10000,9800,12000,11500,15000,0,Ergonomic chairs desks
Sales,Salaries,Account Executives,425000,418900,425000,432100,425000,428700,425000,431200,Commission structure adjusted
Sales,Salaries,Sales Engineers,195000,192300,195000,198700,195000,196100,195000,197800,Technical pre-sales support
Sales,Salaries,Sales Managers,185000,183400,185000,187900,185000,186200,185000,188100,Regional manager salaries
Sales,Commissions,New Business,125000,142300,130000,156800,135000,148900,140000,0,Above target performance
Sales,Commissions,Renewals,65000,68900,70000,72400,75000,71200,80000,0,Strong renewal rates
Sales,Commissions,Upsells,45000,52100,50000,58300,55000,54700,60000,0,Cross-sell initiatives
Sales,Travel,Client Meetings,85000,82400,90000,94200,95000,91800,100000,0,Increased face-to-face meetings
Sales,Travel,Trade Shows,55000,53800,60000,58900,45000,43200,50000,0,Industry events participation
Sales,Travel,Accommodations,42000,40800,45000,46300,48000,45900,50000,0,Hotel expenses
Sales,Marketing Materials,Brochures,15000,14200,12000,11800,15000,14500,18000,0,Updated product materials
Sales,Marketing Materials,Presentations,8000,7600,8000,8300,8000,7900,8000,0,Custom pitch decks
Sales,Software,CRM System,48000,47800,48000,48200,48000,47900,48000,0,Salesforce enterprise license
Sales,Software,Sales Tools,22000,21400,22000,22800,22000,21900,22000,0,LinkedIn Sales Navigator
Sales,Events,Customer Dinners,35000,33800,38000,39200,40000,38900,42000,0,Relationship building
Sales,Events,Hospitality,18000,17300,20000,19800,22000,21200,25000,0,Client entertainment
Sales,Office,Supplies,8000,7600,8000,8200,8000,7900,8000,0,Sales collateral printing
Marketing,Salaries,Marketing Managers,165000,162800,165000,167300,165000,165900,165000,168200,Digital marketing focus
Marketing,Salaries,Content Writers,95000,93400,95000,96800,95000,94900,95000,97100,Blog and content creation
