product_id,product_name,category,price,stock_quantity,last_updated
1,Wireless Mouse,Electronics,29.99,150,2024-03-15
2,USB-C Cable,Accessories,12.50,200,2024-02-20
3,Laptop Stand,Furniture,45.99,75,2024-01-10
4,Ergonomic Keyboard,Computing,89.99,120,2023-11-22
5,Office Chair,Furniture,299.99,45,2024-05-18
6,HDMI Cable,Accessories,15.99,300,2023-08-14
7,Desk Lamp,Office Supplies,34.50,180,2024-06-30
8,USB Hub,Electronics,28.75,95,2023-12-05
9,Monitor Stand,Furniture,65.00,60,2024-04-22
10,Wireless Keyboard,Computing,59.99,140,2023-09-17
11,Mouse Pad,Accessories,8.99,450,2024-07-11
12,Notebook Set,Office Supplies,12.99,280,2023-10-03
13,Desk Organizer,Office Supplies,22.50,165,2024-08-25
14,External Hard Drive,Electronics,129.99,85,2023-07-19
15,Webcam,Electronics,79.99,110,2024-09-14
16,Printer Paper,Office Supplies,19.99,390,2023-05-28
17,Cable Management,Accessories,9.99,420,2024-10-07
18,Standing Desk,Furniture,499.99,25,2023-06-12
19,Laptop Bag,Accessories,45.00,155,2024-11-19
20,Bluetooth Speaker,Electronics,55.50,175,2023-04-15
21,Pen Set,Office Supplies,14.99,340,2024-12-02
22,Desk Calendar,Office Supplies,7.99,275,2023-03-22
23,USB Flash Drive,Electronics,18.99,265,2024-01-28
24,Headphone Stand,Accessories,24.99,145,2023-12-18
25,Mechanical Keyboard,Computing,149.99,70,2024-02-09
26,Gaming Mouse,Electronics,69.99,125,2023-08-31
27,Phone Holder,Accessories,11.50,310,2024-05-06
28,Sticky Notes,Office Supplies,5.99,500,2023-11-14
29,Bookshelf,Furniture,179.99,35,2024-03-27
30,Monitor Arm,Furniture,89.99,55,2023-09-08
31,Wireless Charger,Electronics,32.99,190,2024-07-23
32,Stapler,Office Supplies,8.50,425,2023-02-16
33,Paper Clips,Office Supplies,6.99,480,2024-04-11
34,Binder Set,Office Supplies,16.99,245,2023-10-29
35,Desk Mat,Accessories,35.00,130,2024-06-14
36,USB Microphone,Electronics,99.99,95,2023-07-05
37,Filing Cabinet,Furniture,249.99,40,2024-08-19
38,Whiteboard,Office Supplies,42.50,105,2023-05-11
39,Marker Set,Office Supplies,9.99,380,2024-09-26
40,Laptop Sleeve,Accessories,19.99,225,2023-12-23
41,Surge Protector,Electronics,25.99,205,2024-10-15
42,Document Tray,Office Supplies,13.50,295,2023-06-07
43,Scissors,Office Supplies,7.50,415,2024-11-03
44,Tape Dispenser,Office Supplies,10.99,355,2023-03-19
45,Conference Phone,Electronics,199.99,50,2024-01-14
46,Ergonomic Mouse,Computing,44.99,160,2023-08-26
47,Task Chair,Furniture,189.99,65,2024-04-08
48,Storage Box,Office Supplies,11.99,320,2023-11-30
49,Label Maker,Electronics,39.99,115,2024-07-17
50,Desk Fan,Electronics,28.50,185,2023-09-22
51,Power Bank,Electronics,34.99,170,2024-02-05
52,Tablet Stand,Accessories,21.99,195,2023-10-18
53,Hole Punch,Office Supplies,12.50,285,2024-05-30
54,Calculator,Electronics,16.50,255,2023-07-14
55,File Folders,Office Supplies,8.99,405,2024-08-08
56,Clipboard,Office Supplies,6.50,445,2023-04-26
57,Presentation Clicker,Electronics,29.50,135,2024-12-20
58,Book Stand,Furniture,32.99,90,2023-06-19
59,Cord Organizer,Accessories,13.99,275,2024-03-04
60,Wall Clock,Office Supplies,24.50,165,2023-11-07
61,Drawer Organizer,Office Supplies,15.50,240,2024-09-12
62,LED Desk Light,Electronics,49.99,125,2023-02-28
63,Footrest,Furniture,39.99,100,2024-06-25
64,Extension Cord,Accessories,14.50,290,2023-08-11
65,Ring Binder,Office Supplies,9.50,365,2024-10-29
66,Pencil Cup,Office Supplies,7.99,395,2023-05-17
67,Document Scanner,Electronics,179.99,65,2024-01-22
68,Shredder,Electronics,89.50,80,2023-12-09
69,Trash Can,Office Supplies,18.99,210,2024-07-06
70,Rubber Bands,Office Supplies,5.99,470,2023-09-03
