transaction_id,date,amount,merchant,currency,exchange_rate,fee_percentage,fixed_fee,tax_rate
VIS001,2024-01-15,125.50,Amazon Store,USD,1.0,2.9,0.30,0.0825
VIS002,2024-01-15,2450.75,Best Buy Electronics,USD,1.0,2.9,0.30,0.065
VIS003,2024-01-15,89.99,Starbucks Coffee,USD,1.0,2.9,0.30,0.0975
VIS004,2024-01-16,1250.3456,International Tech,EUR,0.85,3.2,0.35,0.0
VIS005,2024-01-16,45.67,Local Grocery,USD,1.0,2.5,0.25,0.065
VIS006,2024-01-16,3499.99,Apple Store,USD,1.0,2.9,0.30,0.0825
VIS007,2024-01-17,678.4321,London Shop,GBP,1.35,3.5,0.35,0.0
VIS008,2024-01-17,234.56,Target Store,USD,1.0,2.9,0.30,0.065
VIS009,2024-01-17,0.99,App Store,USD,1.0,2.9,0.30,0.0
VIS010,2024-01-18,4567.89,Furniture Outlet,USD,1.0,2.9,0.30,0.0825
VIS011,2024-01-18,156.78,Gas Station,USD,1.0,2.5,0.25,0.0975
VIS012,2024-01-18,890.1234,Paris Boutique,EUR,0.85,3.2,0.35,0.0
VIS013,2024-01-19,2100.00,Hotel Reservation,USD,1.0,2.9,0.30,0.065
VIS014,2024-01-19,67.45,Restaurant,USD,1.0,2.9,0.30,0.0975
VIS015,2024-01-19,1890.50,Electronics Hub,USD,1.0,2.9,0.30,0.0825
VIS016,2024-01-20,345.6789,Frankfurt Store,EUR,0.85,3.2,0.35,0.0
VIS017,2024-01-20,78.90,Pharmacy,USD,1.0,2.5,0.25,0.065
VIS018,2024-01-20,4999.99,Jewelry Store,USD,1.0,3.5,0.35,0.0825
VIS019,2024-01-21,123.45,Book Store,USD,1.0,2.9,0.30,0.0
VIS020,2024-01-21,567.8912,Manchester Shop,GBP,1.35,3.5,0.35,0.0
VIS021,2024-01-21,2345.67,Department Store,USD,1.0,2.9,0.30,0.065
VIS022,2024-01-22,89.12,Coffee Shop,USD,1.0,2.5,0.25,0.0975
VIS023,2024-01-22,1567.89,Costco,USD,1.0,2.9,0.30,0.0825
VIS024,2024-01-22,234.5678,Berlin Market,EUR,0.85,3.2,0.35,0.0
VIS025,2024-01-23,3456.78,Home Depot,USD,1.0,2.9,0.30,0.065
VIS026,2024-01-23,45.90,Fast Food,USD,1.0,2.5,0.25,0.0975
VIS027,2024-01-23,890.12,Walmart,USD,1.0,2.9,0.30,0.0825
VIS028,2024-01-24,1234.5678,Edinburgh Store,GBP,1.35,3.5,0.35,0.0
VIS029,2024-01-24,678.90,Pet Store,USD,1.0,2.9,0.30,0.065
VIS030,2024-01-24,2890.45,Nordstrom,USD,1.0,2.9,0.30,0.0825
VIS031,2024-01-25,156.7890,Lyon Shop,EUR,0.85,3.2,0.35,0.0
VIS032,2024-01-25,4123.56,Luxury Boutique,USD,1.0,3.5,0.35,0.0975
VIS033,2024-01-25,89.99,Grocery Store,USD,1.0,2.5,0.25,0.065
VIS034,2024-01-26,1567.34,Sports Equipment,USD,1.0,2.9,0.30,0.0825
VIS035,2024-01-26,345.6712,Brussels Store,EUR,0.85,3.2,0.35,0.0
VIS036,2024-01-26,789.01,Auto Parts,USD,1.0,2.9,0.30,0.065
VIS037,2024-01-27,2456.78,Computer Store,USD,1.0,2.9,0.30,0.0825
VIS038,2024-01-27,67.8923,Birmingham Shop,GBP,1.35,3.5,0.35,0.0
VIS039,2024-01-27,1890.12,Furniture Store,USD,1.0,2.9,0.30,0.0975
VIS040,2024-01-28,234.56,Bakery,USD,1.0,2.5,0.25,0.065
VIS041,2024-01-28,3567.89,Appliance Center,USD,1.0,2.9,0.30,0.0825
