text,label
"This product is amazing and works great!",0
"You are a stupid idiot and I hate you",1
"The service was slow but the staff tried their best",0
"Go kill yourself you worthless piece of trash",1
"I really enjoyed my experience at this restaurant",0
"You're all a bunch of morons",1
"The delivery took longer than expected but arrived safely",0
"I hope you die in a fire",1
"Fuck you and your entire family",1
"The customer support was helpful and responsive",0
"You're too stupid to understand anything",1
"Not my favorite but decent overall",0
"Kill yourself nobody wants you here",1
"The interface is intuitive and easy to navigate",0
"You're a worthless sack of shit",1
"Shipping was fast and packaging was secure",0
"Go to hell you disgusting pig",1
"The documentation could be more detailed",0
"I hate you so much you pathetic loser",1
"Works exactly as described in the listing",0
"You should be ashamed of yourself idiot",1
"The color is slightly different from the photo",0
"Nobody likes you just disappear",1
"Excellent customer service experience",0
"You're a fucking waste of space",1
"The battery life is impressive",0
"Drop dead you piece of garbage",1
"Easy to assemble with clear instructions",0
"You're the dumbest person I've ever seen",1
"The material feels durable and well-made",0
"I wish you would just shut up forever",1
"Arrived on time and in perfect condition",0
"You're an absolute moron kill yourself",1
"The features meet my basic needs",0
"Go fuck yourself you idiot",1
"Good value for money overall",0
"You disgust me you worthless trash",1
"The app crashes occasionally but mostly works",0
"I hope something terrible happens to you",1
"Nice design and good build quality",0
"You're so stupid it hurts to read your posts",1
"The setup process was straightforward",0
"Die in a hole nobody cares about you",1
"Performs well for everyday tasks",0
"You're a pathetic excuse for a human",1
"The screen resolution is clear and bright",0
"Fuck off and die you piece of shit",1
"Comfortable fit and good support",0
"You're trash and everyone knows it",1
"The sound quality exceeded my expectations",0
"I hate everything about you loser",1
"Lightweight and portable design",0
"You should kill yourself immediately",1
"The temperature control is accurate",0
"You're the worst person alive idiot",1
"Stain resistant and easy to clean",0
"Go die you worthless human garbage",1
"The warranty coverage seems fair",0
"You're a fucking stupid waste of life",1
"Responsive touch screen interface",0
"I hope you suffer you piece of trash",1
"The portions are generous for the price",0
"You're an idiotic loser nobody likes",1
"Quiet operation even at high speeds",0
"Die slow you pathetic waste",1
"The layout is user-friendly",0
"You're such a dumb fuck",1
"Energy efficient and eco-friendly",0
"Kill yourself you disgusting rat",1
"The texture is soft and pleasant",0
"You're worthless garbage die",1
"Multiple color options available",0
"I hate you so much scum",1
"The grip is comfortable and secure",0
"You're a stupid idiot fuck off",1
"Compatible with most devices",0
"Drop dead you piece of shit",1
"The blade stays sharp after multiple uses",0
"You're the dumbest trash alive",1
"Long lasting and reliable performance",0
"Go to hell you worthless fuck",1
"The price point is competitive",0
"Die you pathetic loser",1
"Minimal maintenance required",0
"You're disgusting kill yourself",1
"The adjustment mechanism works smoothly",0
"Fuck you die you idiot",1
"Compact size fits in small spaces",0
"You're stupid garbage die",1
"The installation was quick and easy",0
"I hope you die soon loser",1
"Scratch resistant surface coating",0
"You're a worthless fuck",1
"The motor runs quietly",0
"Kill yourself trash",1
"Multiple speed settings available",0
"Die you stupid idiot",1
"The fabric breathes well",0
"You're garbage die",1
"Good traction on various surfaces",0
"Fuck off and die",1
"The locking mechanism is secure",0
"You're worthless scum",1
"Holds temperature for several hours",0
"Die you piece of trash",1
"The buttons are clearly labeled",0
"You're an idiot die",1
"Dishwasher safe components",0
"Kill yourself loser",1
"The range of motion is adequate",0
"Fuck you idiot",1
"Lightweight yet sturdy construction",0
"Die you fuck",1
"The display is easy to read",0
"You're trash die",1
"Charges quickly and efficiently",0
"Kill yourself now",1
"The straps are adjustable",0
"Die idiot scum",1
"Water resistant exterior",0
"Fuck off loser",1
"The timer function is convenient",0
