Id,Name,Industry
001xx000003DGb2AAG,Acme Corporation,Technology
001xx000003DGb3AAG,Global Industries,Manufacturing
001xx000003DGb5AAG,HealthCare Plus,Healthcare
001xx000003DGb6AAG,Financial Services Inc,Finance
001xx000003DGb7AAG,Retail Dynamics,Retail
001xx000003DGb8AAG,Manufacturing Pro,Manufacturing
001xx000003DGb9AAG,Digital Ventures,Technology
001xx000003DGb0AAG,Medical Systems,Healthcare
001xx000003DGc1AAG,Banking Solutions,Finance
001xx000003DGc2AAG,Shop & Save,Retail
001xx000003DGc3AAG,Enterprise Tech,Technology
001xx000003DGc4AAG,Industrial Works,Manufacturing
001xx000003DGc6AAG,Investment Group,Finance
001xx000003DGc7AAG,Consumer Goods,Retail
001xx000003DGc8AAG,Cloud Services,Technology
001xx000003DGc9AAG,Auto Manufacturing,Manufacturing
001xx000003DGc0AAG,Wellness Corp,Healthcare
001xx000003DGd1AAG,Credit Union,Finance
001xx000003DGd2AAG,Supermarket Chain,Retail
001xx000003DGd3AAG,Software Systems,Technology
001xx000003DGd4AAG,Factory Direct,Manufacturing
001xx000003DGd5AAG,Pharmacy Plus,Healthcare
001xx000003DGd6AAG,Wealth Management,Finance
001xx000003DGd7AAG,Fashion Retail,Retail
001xx000003DGd8AAG,Data Analytics,Technology
001xx000003DGd0AAG,Hospital Group,Healthcare
001xx000003DGe1AAG,Insurance Providers,Finance
001xx000003DGe2AAG,Department Stores,Retail
001xx000003DGe3AAG,Mobile Apps,Technology
001xx000003DGe4AAG,Steel Works,Manufacturing
001xx000003DGe5AAG,Dental Services,Healthcare
001xx000003DGe6AAG,Asset Management,Finance
001xx000003DGe7AAG,Online Retail,Retail
001xx000003DGe8AAG,Cybersecurity Inc,Technology
001xx000003DGe9AAG,Automotive Parts,Manufacturing
001xx000003DGe0AAG,Medical Devices,Healthcare
001xx000003DGf1AAG,Mortgage Company,Finance
001xx000003DGf2AAG,Grocery Stores,Retail
001xx000003DGf3AAG,AI Solutions,Technology
001xx000003DGf4AAG,Chemical Manufacturing,Manufacturing
001xx000003DGf6AAG,Financial Advisors,Finance
001xx000003DGf7AAG,Boutique Shops,Retail
001xx000003DGf8AAG,IT Consulting,Technology
001xx000003DGf9AAG,Electronics Manufacturing,Manufacturing
001xx000003DGf0AAG,Urgent Care,Healthcare
001xx000003DGg1AAG,Private Equity,Finance
001xx000003DGg2AAG,Discount Retailers,Retail
001xx000003DGg3AAG,Blockchain Tech,Technology
001xx000003DGg4AAG,Aerospace Manufacturing,Manufacturing
001xx000003DGg5AAG,Vision Center,Healthcare
001xx000003DGg6AAG,Commercial Banking,Finance
001xx000003DGg7AAG,Sporting Goods,Retail
001xx000003DGg8AAG,Machine Learning,Technology
001xx000003DGg0AAG,Home Health Services,Healthcare
001xx000003DGh1AAG,Investment Banking,Finance
001xx000003DGh2AAG,Jewelry Stores,Retail
001xx000003DGh3AAG,Network Solutions,Technology
001xx000003DGh4AAG,Textile Manufacturing,Manufacturing
001xx000003DGh5AAG,Rehabilitation Center,Healthcare
001xx000003DGh6AAG,Venture Capital,Finance
001xx000003DGh7AAG,Home Improvement,Retail
001xx000003DGh8AAG,Enterprise Software,Technology
001xx000003DGh9AAG,Food Processing,Manufacturing
001xx000003DGh0AAG,Diagnostic Labs,Healthcare
001xx000003DGi1AAG,Trust Services,Finance
001xx000003DGi2AAG,Electronics Retail,Retail
001xx000003DGi3AAG,SaaS Platform,Technology
001xx000003DGi4AAG,Paper Manufacturing,Manufacturing
001xx000003DGi6AAG,Accounting Firm,Finance
001xx000003DGi7AAG,Toy Stores,Retail
001xx000003DGi8AAG,Telecommunications,Technology
001xx000003DGi9AAG,Plastics Manufacturing,Manufacturing
001xx000003DGi0AAG,Nursing Homes,Healthcare
001xx000003DGj1AAG,Financial Planning,Finance
001xx000003DGj2AAG,Pet Supplies,Retail
001xx000003DGj3AAG,Cloud Computing,Technology
001xx000003DGj4AAG,Heavy Machinery,Manufacturing
001xx000003DGj5AAG,Specialty Clinics,Healthcare
001xx000003DGj6AAG,Payment Processing,Finance
001xx000003DGj7AAG,Book Stores,Retail
001xx000003DGj8AAG,Web Development,Technology
001xx000003DGj9AAG,Construction Materials,Manufacturing
001xx000003DGj0AAG,Emergency Services,Healthcare
001xx000003DGk2AAG,Hardware Stores,Retail
001xx000003DGk3AAG,DevOps Solutions,Technology
001xx000003DGk4AAG,Battery Manufacturing,Manufacturing
001xx000003DGk5AAG,Assisted Living,Healthcare
001xx000003DGk6AAG,Loan Services,Finance
001xx000003DGk7AAG,Garden Centers,Retail
001xx000003DGk8AAG,Automation Systems,Technology
001xx000003DGk9AAG,Packaging Solutions,Manufacturing
001xx000003DGk0AAG,Diagnostic Imaging,Healthcare
