product_id,name,price,category,updated_at
1,Laptop,749.99,Electronics,2024-02-10 11:45:00
2,Mouse,34.99,Peripherals,2024-02-12 08:30:00
3,Keyboard,59.99,Peripherals,2024-02-05 09:15:00
4,Monitor,299.99,Electronics,2024-02-11 15:20:00
5,USB Cable,12.99,Accessories,2024-02-03 14:22:00
7,Webcam,89.99,Peripherals,2024-02-08 16:45:00
8,Headphones,129.99,Accessories,2024-02-09 13:30:00
9,SSD Drive,159.99,Components,2024-02-13 10:12:00
11,Power Adapter,39.99,Accessories,2024-02-07 11:00:00
14,Tablet,449.99,Electronics,2024-02-14 10:00:00
15,Wireless Charger,34.99,Accessories,2024-02-15 09:30:00
16,Graphics Card,599.99,Components,2024-02-16 14:20:00
