Id,Name,Industry,AnnualRevenue,NumberOfEmployees,BillingCountry,CreatedDate,LastModifiedDate
001D000000Xm2k1IAB,Global Ventures Ltd,Construction,850000,145,Canada,2021-03-15,2023-11-22
001D000000Xm2k2IAB,Pacific Trading Co,Agriculture,N/A,89,Australia,2020-07-22,2023-10-18
001D000000Xm2k3IAB,TESTING COMPANY SOLUTIONS,Media,450000,67,,2022-01-10,2023-09-14
001D000000Xm2k4IAB,Mountain Peak Industries,Construction,,234,New Zealand,2021-09-05,2023-12-01
001D000000Xm2k5IAB,Sunrise Hospitality Group,Hospitality,2300000,456,South Korea,2020-11-30,2023-11-28
001D000000Xm2k6IAB,Sample Business Inc,Agriculture,185000,45,,2022-05-18,2023-08-22
001D000000Xm2k7IAB,Dragon Enterprises,Manufacturing,5600000,892,China,2019-12-12,2023-10-30
001D000000Xm2k8IAB,Coastal Construction LLC,Construction,null,178,Canada,2021-06-25,2023-11-15
001D000000Xm2k9IAB,Harvest Moon Farms,Agriculture,680000,123,Australia,2020-04-14,2023-09-28
001D000000Xm2l0IAB,Urban Media Networks,Media,1250000,267,,2022-02-28,2023-12-05
001D000000Xm2l1IAB,Alpine Resorts International,Hospitality,8900000,1245,New Zealand,2019-08-19,2023-11-12
001D000000Xm2l2IAB,Test Data Corporation,Technology,95000,34,South Korea,2023-01-07,2023-10-25
001D000000Xm2l3IAB,Golden Harvest Agribusiness,Agriculture,3400000,567,China,2020-10-03,2023-11-20
001D000000Xm2l4IAB,Metro Construction Partners,Construction,1890000,345,,2021-11-16,2023-09-18
001D000000Xm2l5IAB,Lakeside Hotel Group,Hospitality,,423,Canada,2022-04-09,2023-12-02
001D000000Xm2l6IAB,Premier Broadcasting Ltd,Media,4250000,678,Australia,2020-02-21,2023-10-15
001D000000Xm2l7IAB,Sample Test Industries,Manufacturing,invalid,89,New Zealand,2023-03-14,2023-11-08
001D000000Xm2m3IAB,Northern Lights Construction,Construction,2150000,398,Canada,2021-05-12,2023-11-25
001D000000Xm2m4IAB,Oceanic Agriculture Partners,Agriculture,960000,201,Australia,2020-09-28,2023-10-20
001D000000Xm2m5IAB,Summit Media Productions,Media,1780000,312,South Korea,2022-07-05,2023-12-03
001D000000Xm2m6IAB,Heritage Hospitality Resorts,Hospitality,6700000,934,China,2019-11-23,2023-11-18
001D000000Xm2m7IAB,Valley Construction Group,Construction,3250000,567,,2021-08-17,2023-09-29
001D000000Xm2m8IAB,Green Fields Agriculture,Agriculture,N/A,145,New Zealand,2020-06-11,2023-10-27
001D000000Xm2m9IAB,City Center Hotels,Hospitality,4890000,723,Canada,2022-03-22,2023-11-30
001D000000Xm2n0IAB,Network Media International,Media,,289,Australia,2021-01-19,2023-12-07
001D000000Xm2n1IAB,Pinnacle Building Solutions,Construction,7650000,1123,South Korea,2019-10-08,2023-11-14
001D000000Xm2n2IAB,Eastern Agriculture Holdings,Agriculture,2760000,478,China,2020-12-15,2023-10-22
001D000000Xm2n3IAB,Riverfront Construction,Construction,1540000,287,,2022-06-30,2023-11-26
001D000000Xm2n4IAB,Testing Sample Group LLC,Hospitality,225000,56,New Zealand,2023-02-14,2023-09-19
001D000000Xm2l8IAB,Sunshine Tourism Company,Hospitality,5100000,812,Canada,2020-05-27,2023-11-21
001D000000Xm2l9IAB,Continental Media Systems,Media,2980000,445,Australia,2021-07-13,2023-10-16
001D000000Xm2n5IAB,Highland Agriculture Cooperative,Agriculture,null,198,South Korea,2022-08-24,2023-12-04
001D000000Xm2n6IAB,Modern Build Construction,Construction,11000000,1567,China,2019-09-06,2023-11-29
001D000000Xm2n7IAB,Paradise Inn Resorts,Hospitality,8250000,1098,,2021-04-20,2023-10-31
001D000000Xm2n8IAB,Digital Media Partners,Media,3670000,534,New Zealand,2020-11-09,2023-11-17
001D000000Xm2n9IAB,Westfield Agriculture Systems,Agriculture,1420000,267,Canada,2022-09-01,2023-12-06
001D000000Xm2o0IAB,Premier Construction Enterprises,Construction,9200000,1345,Australia,2019-07-18,2023-11-23
001D000000Xm2o1IAB,Grand Hotel Collection,Hospitality,6450000,987,South Korea,2021-10-11,2023-10-28
001D000000Xm2o2IAB,National Agriculture Alliance,Agriculture,4120000,698,China,2020-08-05,2023-11-19
001D000000Xm2o3IAB,Broadcast Media Corp,Media,5580000,834,New Zealand,2022-02-16,2023-12-01
