product_id,name,price,category,updated_at
1,Laptop,799.99,Electronics,2024-01-15 10:30:00
2,Mouse,29.99,Peripherals,2024-01-16 14:20:00
3,Keyboard,59.99,Peripherals,2024-01-17 09:15:00
4,Monitor,349.99,Electronics,2024-01-18 11:45:00
5,Headphones,89.99,Peripherals,2024-01-19 13:30:00
6,Webcam,79.99,Peripherals,2024-01-20 15:10:00
7,USB Cable,15.99,Accessories,2024-01-21 08:25:00
8,Hard Drive,129.99,Components,2024-01-22 10:50:00
9,SSD Drive,189.99,Components,2024-01-23 12:15:00
10,RAM Module,99.99,Components,2024-01-24 14:40:00
11,Graphics Card,599.99,Components,2024-01-25 16:20:00
12,Motherboard,249.99,Components,2024-01-26 09:30:00
13,Power Supply,89.99,Components,2024-01-27 11:05:00
14,Case,79.99,Accessories,2024-01-28 13:45:00
15,CPU,449.99,Components,2024-01-29 10:20:00
