comment_id,text,is_toxic
1,"This is a great product! I really enjoyed using it and would recommend it to anyone looking for quality.",0
2,"You're such an idiot. Can't believe people like you exist.",1
3,"Has anyone tried the new update? I'm curious about the features.",0
4,"Thanks for sharing this information. Very helpful!",0
5,"",0
6,"This is absolutely terrible. What a waste of my time and money.",0
7,"Shut up you moron. Nobody asked for your stupid opinion.",1
8,"I have a question about the installation process. Can someone help?",0
9,"Great community here. Everyone is so supportive and friendly.",0
10,"You're all a bunch of losers. Get a life.",1
11,"",0
12,"The customer service was excellent. They resolved my issue quickly.",0
13,"I'm new here. Looking forward to learning from everyone.",0
14,"This sucks. Worst thing I've ever seen.",1
15,"Can you provide more details about the pricing plans?",0
16,"",0
17,"Appreciate the quick response. Thank you so much!",0
18,"This is garbage and you should be ashamed of yourself.",1
19,"Has anyone experienced similar issues with the app crashing?",0
20,"You're such an idiot. Can't believe people like you exist.",1
21,"I found the tutorial very easy to follow. Well done!",0
22,"Go kill yourself. The world would be better without you.",1
23,"Looking for recommendations on similar products.",0
24,"Nice work on this project. Keep it up!",0
25,"",0
26,"What a pathetic excuse for content. Absolutely disgusting.",1
27,"Does this work on mobile devices as well?",0
28,"This is a great product! I really enjoyed using it and would recommend it to anyone looking for quality.",0
29,"I disagree with your point but I respect your perspective.",0
30,"You're a complete waste of space. Just shut up already.",1
31,"",0
32,"The interface is intuitive and user-friendly.",0
33,"Thanks for the update. This clarifies things.",0
34,"Stupid idiots don't know anything. All of you are worthless.",1
35,"I'm having trouble connecting. Any suggestions?",0
36,"This community has been incredibly helpful for my learning journey.",0
37,"You're all brainless sheep. Wake up you fools.",1
38,"Great explanation. This makes sense now.",0
39,"",0
40,"Looking forward to the next release. Excited about the new features!",0
41,"What a joke. This is complete trash.",1
42,"Can someone point me to the documentation?",0
43,"Has anyone tried the new update? I'm curious about the features.",0
44,"I love how active this community is. So many helpful people!",0
45,"",0
46,"You're pathetic. Go back to where you came from.",1
47,"The design is clean and modern. Very impressed.",0
48,"This is absolutely terrible. What a waste of my time and money.",0
49,"Just wanted to say thanks to everyone who helped me.",0
50,"I hope you die in a fire. Seriously.",1
51,"",0
52,"Working perfectly after the latest update. Thanks!",0
53,"Interesting perspective. I hadn't thought of it that way.",0
54,"You're all idiots and deserve to suffer.",1
55,"Could you elaborate on that point?",0
56,"This feature has saved me so much time. Thank you!",0
57,"",0
58,"Piece of garbage. Why would anyone use this crap?",1
59,"I appreciate all the hard work that went into this.",0
60,"Nice!",0
61,"You're a disgusting human being. Absolutely vile.",1
62,"Does anyone have experience with the premium version?",0
63,"Thanks for sharing this information. Very helpful!",0
64,"",0
65,"The support team was very responsive and professional.",0
66,"This is stupid and so are you.",1
67,"I'm impressed by the attention to detail.",0
68,"Go to hell. Nobody wants you here.",1
69,"Can you recommend any alternatives?",0
70,"",0
71,"The customer service was excellent. They resolved my issue quickly.",0
72,"Well explained. Easy to understand.",0
73,"You're all a bunch of losers. Get a life.",1
74,"I have some feedback about the user experience.",0
75,"This exceeded my expectations. Really satisfied!",0
76,"Kill yourself already. Do us all a favor.",1
77,"",0
78,"Looking for recommendations on similar products.",0
79,"The documentation could use some improvement but overall good.",0
80,"Shut your mouth you stupid piece of trash.",1
81,"",0
82,"Anyone else having this problem?",0
83,"Great work team! This update is fantastic.",0
84,"You're an absolute moron. Can't stand people like you.",1
85,"I'll definitely be using this regularly.",0
86,"Thanks for the quick fix. Much appreciated!",0
87,"",0
88,"This is worthless garbage made by incompetent fools.",1
89,"Helpful community. Thanks everyone!",0
90,"Does this work on mobile devices as well?",0
91,"You should be banned. Your opinion is trash.",1
92,"I'm new here. Looking forward to learning from everyone.",0
93,"",0
94,"The interface is intuitive and user-friendly.",0
95,"Brilliant solution to a common problem.",0
96,"What a pathetic excuse for content. Absolutely disgusting.",1
97,"Has anyone tried integrating this with other tools?",0
98,"Love it!",0
99,"",0
100,"Appreciate all the effort. This is really useful.",0
101,"You're so dumb it hurts. How are you even alive?",1
102,"Can someone explain how this feature works?",0
103,"I found the tutorial very easy to follow. Well done!",0
104,"This sucks so bad. Total waste of time.",1
105,"",0
106,"The latest improvements are really noticeable.",0
107,"Looking forward to future updates!",0
108,"Screw you and everyone who thinks like you.",1
109,"I have a question about the installation process. Can someone help?",0
110,"This community has been incredibly helpful for my learning journey.",0
111,"",0
112,"You're all brainless sheep. Wake up you fools.",1
113,"Excellent resource. Bookmarked for future reference.",0
114,"Does anyone have a tutorial for beginners?",0
115,"Your existence is pointless. Just stop.",1
116,"Great community here. Everyone is so supportive and friendly.",0
117,"Working perfectly after the latest update. Thanks!",0
118,"",0
119,"This is exactly what I was looking for. Perfect!",0
120,"Stupid idiots don't know anything. All of you are worthless.",1
121,"Can you provide more details about the pricing plans?",0
122,"I disagree with your point but I respect your perspective.",0
123,"Go kill yourself. The world would be better without you.",1
124,"",0
125,"The design is clean and modern. Very impressed.",0
126,"Amazing job on this. Really well done.",0
127,"You're pathetic. Go back to where you came from.",1
128,"Just wanted to say thanks to everyone who helped me.",0
129,"Nice work on this project. Keep it up!",0
130,"I hate this and I hate you too.",1
131,"",0
132,"Could you elaborate on that point?",0
133,"This feature has saved me so much time. Thank you!",0
134,"You're a complete waste of space. Just shut up already.",1
135,"Interesting perspective. I hadn't thought of it that way.",0
136,"I appreciate all the hard work that went into this.",0
137,"",0
138,"Piece of garbage. Why would anyone use this crap?",1
139,"The support team was very responsive and professional.",0
140,"I'm impressed by the attention to detail.",0
141,"You're a disgusting human being. Absolutely vile.",1
142,"Does anyone have experience with the premium version?",0
143,"",0
144,"Well explained. Easy to understand.",0
145,"This is the best thing ever. Highly recommend!",0
146,"This is stupid and so are you.",1
147,"I have some feedback about the user experience.",0
148,"Absolutely love this. Five stars!",0
149,"Go to hell. Nobody wants you here.",1
150,"The documentation could use some improvement but overall good.",0
151,"Anyone else having this problem?",0
152,"",0
153,"Great work team! This update is fantastic.",0
154,"You're an absolute moron. Can't stand people like you.",1
155,"I'll definitely be using this regularly.",0
156,"Shut your mouth you stupid piece of trash.",1
157,"Helpful community. Thanks everyone!",0
158,"",0
159,"You should be banned. Your opinion is trash.",1
160,"Brilliant solution to a common problem.",0
161,"Has anyone tried integrating this with other tools?",0
162,"This is worthless garbage made by incompetent fools.",1
163,"Appreciate all the effort. This is really useful.",0
164,"",0
165,"You're so dumb it hurts. How are you even alive?",1
166,"Can someone explain how this feature works?",0
167,"The latest improvements are really noticeable.",0
168,"This sucks so bad. Total waste of time.",1
169,"Looking forward to future updates!",0
170,"",0
171,"Screw you and everyone who thinks like you.",1
172,"Excellent resource. Bookmarked for future reference.",0
173,"Does anyone have a tutorial for beginners?",0
174,"Your existence is pointless. Just stop.",1
175,"This is exactly what I was looking for. Perfect!",0
176,"Amazing job on this. Really well done.",0
177,"",0
178,"I hate this and I hate you too.",1
179,"Awesome!",0
