timestamp_ms	clause_id	lbd_score	clause_length	retained
1050	1	4	12	true
1120	2	8	18	false
1200	3	3	7	true
1280	4	11	22	false
1350	5	2	5	true
1420	6	9	16	false
1490	7	5	14	true
1560	8	13	28	false
1630	9	3	9	true
1700	10	4	11	true
1850	11	7	19	false
1920	12	2	6	true
2050	13	6	13	false
2180	14	4	10	true
2310	15	10	24	false
2440	16	3	8	true
2570	17	12	31	false
2700	18	5	15	true
2830	19	8	20	false
2960	20	2	4	true
3090	21	4	11	true
3220	22	9	17	false
3350	23	3	7	true
3480	24	14	29	false
3610	25	6	16	false
3740	26	3	9	true
3870	27	11	23	false
4000	28	4	12	true
4130	29	2	5	true
4260	30	7	18	false
4390	31	5	13	true
4520	32	15	35	false
4650	33	3	8	true
4780	34	8	19	false
4910	35	4	10	true
5040	36	10	25	false
5170	37	2	6	true
5300	38	6	14	false
5430	39	3	9	true
5560	40	12	27	false
5690	41	5	11	true
5820	42	4	12	true
5950	43	9	21	false
6080	44	3	7	true
6210	45	13	30	false
6340	46	2	5	true
6470	47	7	17	false
6600	48	4	13	true
6730	49	11	26	false
6860	50	3	8	true
6990	51	5	15	true
7120	52	8	19	false
7250	53	16	38	false
7380	54	4	10	true
7510	55	2	6	true
7640	56	6	14	false
7770	57	3	9	true
7900	58	10	22	false
8030	59	5	12	true
8160	60	4	11	true
8290	61	14	32	false
8420	62	3	7	true
8550	63	7	18	false
8680	64	2	5	true
8810	65	9	20	false
8940	66	4	13	true
9070	67	12	28	false
9200	68	3	8	true
9330	69	5	14	true
9460	70	11	24	false
9590	71	4	10	true
9720	72	2	6	true
9850	73	8	19	false
9980	74	3	9	true
10110	75	6	15	false
10240	76	4	11	true
10370	77	13	29	false
10500	78	2	5	true
10630	79	5	12	true
10760	80	10	23	false
10890	81	3	8	true
11020	82	7	17	false
11150	83	4	10	true
11280	84	15	36	false
11410	85	2	6	true
11540	86	9	21	false
11670	87	3	7	true
11800	88	5	13	true
11930	89	12	27	false
12060	90	4	11	true
12190	91	8	19	false
12320	92	3	9	true
12450	93	2	5	true
12580	94	11	25	false
12710	95	4	12	true
12840	96	6	14	false
12970	97	3	8	true
13100	98	14	31	false
13230	99	5	13	true
13360	100	2	6	true
13490	101	9	20	false
13620	102	4	10	true
13750	103	7	18	false
13880	104	3	9	true
14010	105	10	22	false
14140	106	4	11	true
14270	107	2	5	true
14400	108	13	28	false
14530	109	3	7	true
14660	110	5	14	true
14790	111	8	19	false
14920	112	4	12	true
15050	113	12	26	false
15180	114	3	8	true
15310	115	2	6	true
15440	116	6	15	false
15570	117	4	10	true
15700	118	11	24	false
15830	119	3	9	true
15960	120	5	13	true
16090	121	9	21	false
16220	122	4	11	true
16350	123	2	5	true
16480	124	7	17	false
16610	125	3	8	true
16740	126	14	30	false
16870	127	4	12	true
17000	128	10	23	false
17130	129	3	7	true
17260	130	5	14	true
17390	131	2	6	true
17520	132	8	19	false
17650	133	4	10	true
17780	134	13	29	false
17910	135	3	9	true
18040	136	6	16	false
18170	137	4	11	true
18300	138	2	5	true
18430	139	11	25	false
18560	140	3	8	true
18690	141	5	13	true
18820	142	9	20	false
18950	143	4	12	true
19080	144	7	18	false
19210	145	3	9	true
19340	146	2	6	true
19470	147	12	27	false
19600	148	4	10	true
19730	149	15	34	false
19860	150	3	7	true
19990	151	5	14	false
20120	152	4	11	true
20250	153	8	19	false
20380	154	3	8	true
20510	155	2	5	true
20640	156	10	22	false
20770	157	4	12	true
20900	158	6	15	false
21030	159	3	9	true
21160	160	11	24	false
21290	161	4	10	true
21420	162	2	6	true
21550	163	9	21	false
21680	164	3	7	true
21810	165	5	13	true
21940	166	14	31	false
22070	167	4	11	true
22200	168	7	18	false
22330	169	3	8	true
22460	170	2	5	true
22590	171	12	26	false
22720	172	4	12	false
22850	173	8	19	false
22980	174	3	9	false
23110	175	5	14	false
23240	176	6	16	false
23370	177	4	10	false
23500	178	10	23	false
23630	179	3	7	false
23760	180	7	17	false
