customer_id,region,product_category,subscription_tier,support_contact_method,churned
C0001,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0002,Southwest_Urban_B,HomeGoods_Standard,Basic,Phone,0
C0003,Northeast_Metro_A,Fashion_Luxury,Enterprise,Chat,1
C0004,Midwest_Rural_C,Sports_Basic,Standard,SMS,0
C0005,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,0
C0006,West_Coast_Metro_E,Tech_Advanced,Platinum,InPerson,1
C0007,Mountain_Rural_F,Outdoor_Pro,Professional,SocialMedia,0
C0008,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0009,Pacific_Urban_G,HomeDecor_Classic,Starter,WhatsApp,0
C0010,Central_Suburban_H,Fitness_Elite,Elite,MobileApp,1
C0011,Southwest_Urban_B,Kitchen_Essentials,Basic,Phone,1
C0012,Atlantic_Metro_I,Fashion_Luxury,Enterprise,Chat,0
C0013,Midwest_Rural_C,Auto_Parts_Standard,Standard,Email,0
C0014,Gulf_Coast_Urban_J,Garden_Premium,Premium,Phone,0
C0015,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0016,Rocky_Mountain_K,Sports_Basic,Basic,SMS,1
C0017,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,0
C0018,Great_Lakes_Metro_L,Toys_Standard,Standard,Chat,0
C0019,West_Coast_Metro_E,Tech_Advanced,Platinum,Email,0
C0020,Desert_Urban_M,Books_Classic,Silver,Phone,0
C0021,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0022,Appalachian_Rural_N,Craft_Supplies,Bronze,SMS,0
C0023,Southwest_Urban_B,HomeGoods_Standard,Basic,Phone,1
C0024,Coastal_Suburban_O,Pet_Supplies_Pro,Professional,Video,0
C0025,Midwest_Rural_C,Farm_Equipment,Advanced,Email,0
C0026,Northeast_Metro_A,Fashion_Luxury,Enterprise,Chat,1
C0027,Southern_Metro_P,Music_Instruments,Premium,Phone,0
C0028,Northwest_Urban_Q,Outdoor_Pro,Professional,WhatsApp,0
C0029,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,0
C0030,Plains_Rural_R,Industrial_Tools,Elite,Email,0
C0031,West_Coast_Metro_E,Tech_Advanced,Platinum,MobileApp,1
C0032,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0033,Southwest_Urban_B,HomeGoods_Standard,Basic,Phone,1
C0034,Bay_Area_Metro_S,Software_Enterprise,Enterprise,Chat,0
C0035,Midwest_Rural_C,Sports_Basic,Standard,SMS,0
C0036,Atlantic_Metro_I,Jewelry_Luxury,Gold,Video,0
C0037,Northeast_Metro_A,Electronics_Premium,Premium,Email,0
C0038,Delta_Region_T,Agriculture_Pro,Professional,Phone,0
C0039,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,1
C0040,West_Coast_Metro_E,Tech_Advanced,Platinum,Email,0
C0041,Southwest_Urban_B,Kitchen_Essentials,Basic,Phone,1
C0042,Northeast_Metro_A,Fashion_Luxury,Enterprise,Chat,1
C0043,Midwest_Rural_C,Auto_Parts_Standard,Standard,SMS,0
C0044,Piedmont_Urban_U,Office_Supplies,Standard,Email,0
C0045,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,0
C0046,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0047,Cascade_Metro_V,Gaming_Elite,Elite,MobileApp,0
C0048,Southwest_Urban_B,HomeGoods_Standard,Basic,Phone,1
C0049,West_Coast_Metro_E,Tech_Advanced,Platinum,Chat,0
C0050,Valley_Region_W,Wine_Premium,Premium,Phone,0
C0051,Northeast_Metro_A,Electronics_Premium,Premium,Email,1
C0052,Midwest_Rural_C,Sports_Basic,Standard,SMS,0
C0053,Southeast_Suburban_D,Beauty_Deluxe,Gold,Video,0
C0054,Southwest_Urban_B,HomeGoods_Standard,Basic,Phone,0
